p11	P12	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	reps	TMAX	samples	source
0.73	0.22	0.57492261501	0.00637422595414	0.072037037037	0.00415456699796	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p22__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.22	0.556715461784	0.00694421606699	0.0711316872428	0.00444064305216	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p22__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.79	0.22	0.523824659463	0.0091731341918	0.110061728395	0.00647026543745	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p79__P12_0p22__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.8	0.22	0.477559819472	0.00961325355797	0.226975308642	0.0127689666261	0.0246913580247	5	400000	405	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\boundary_robustness\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_5.txt
0.81	0.22	0.335262865361	0.0174001782578	0.32853909465	0.022950181225	0.123456790123	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\followup\raw\initial_plane__N1_500__N2_500__P11_0p81__P12_0p22__P22_0p81__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.82	0.22	0.29278140567	0.0142550582293	0.311444444444	0.0173470105554	0.125925925926	5	400000	405	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\boundary_robustness\raw\initial_plane__N1_500__N2_500__P11_0p82__P12_0p22__P22_0p82__B_1p15__R_0__E_m0p4__ndiv_8__reps_5.txt
0.84	0.22	0.275887811584	0.0188801996804	0.329547325103	0.0227908389788	0.131687242798	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p84__P12_0p22__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.23	0.613729894064	0.00505817150036	0.0734362139918	0.00455256787461	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p23__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.23	0.59333530062	0.00566890551639	0.0696090534979	0.00427056535654	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p23__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.23	0.576546175552	0.00617137955905	0.071975308642	0.00431289051412	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_refine\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p23__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
